1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
t020,t020,t020,t020,t019,t019,t024,t024,t026,t021,t021,t023,t019,t019,t019,t027,t023,t023,t023,t023,t026,t023,t026,t026,t027,t024,t027,t023,t023,t041,t019,t011,t011,t014,t020,t012,t014,t012,t012,t522,t016,t047
t018,t018,t019,t019,t016,t016,t023,t023,t027,t023,t023,t022,t022,t022,t022,t019,t024,t021,t021,t024,t027,t024,t027,t024,t023,t023,t023,t021,t021,t011,t041,t480,t480,t041,t041,t014,t020,t014,t014,t475,t493,t054
t017,t057,t018,t016,t020,t020,t021,t022,t024,t019,t019,t019,t020,t020,t020,t022,t021,t019,t019,t021,t024,t021,t024,t023,t025,t025,t025,t022,t022,t480,t011,t018,t018,t020,t009,t020,t470,t020,t020,t011,t457,t522
t016,t016,t057,t012,t012,t012,t019,t021,t023,t047,t018,t013,t013,t013,t013,t020,t019,t022,t022,t019,t023,t019,t023,t021,t021,t021,t021,t011,t011,t018,t480,t012,t041,t009,t475,t041,t483,t470,t470,t009,t489,t026
t015,t015,t016,t014,t014,t014,t047,t019,t021,t013,t013,t012,t012,t012,t012,t013,t020,t020,t020,t018,t021,t018,t021,t019,t019,t019,t019,t480,t480,t012,t018,t041,t012,t475,t473,t009,t009,t483,t522,t010,t528,t464
t014,t014,t015,t013,t013,t013,t020,t047,t019,t012,t012,t014,t014,t014,t014,t012,t013,t013,t013,t020,t019,t013,t019,t480,t480,t480,t480,t019,t019,t014,t012,t014,t014,t473,t483,t475,t475,t009,t009,t473,t527,
t013,t013,t014,t011,t011,t011,t012,t020,t047,t014,t014,t054,t054,t054,t018,t014,t012,t012,t012,t013,t018,t020,t018,t018,t018,t018,t018,t018,t012,t020,t014,t020,t020,t483,t010,t473,t473,t475,t475,t483,t521,
t012,t012,t013,t018,t018,t047,t014,t012,t020,t054,t054,t011,t018,t018,t011,t018,t014,t014,t014,t012,t020,t012,t013,t020,t020,t020,t020,t012,t014,t009,t020,t009,t009,t010,t470,t483,t010,t473,t473,t007,t020,
t011,t011,t012,t009,t009,t018,t054,t014,t018,t020,t020,t018,t011,t011,t009,t011,t022,t018,t018,t014,t013,t014,t012,t012,t012,t012,t012,t014,t020,t475,t009,t475,t475,t470,t007,t010,t007,t010,t010,t005,t047,
t008,t008,t011,t010,t008,t009,t013,t054,t012,t018,t009,t009,t009,t009,t010,t009,t011,t011,t011,t022,t012,t022,t014,t014,t014,t014,t014,t020,t018,t473,t475,t473,t473,t007,t005,t007,t005,t007,t007,t003,t464,
t010,t010,t009,t008,t010,t010,t011,t013,t014,t011,t011,t010,t010,t010,t008,t010,t018,t009,t009,t011,t014,t011,t022,t022,t022,t022,t022,t473,t473,t483,t473,t483,t483,t005,t003,t005,t003,t005,t005,t004,t054,
t009,t009,t010,t004,t007,t008,t018,t011,t054,t009,t010,t008,t008,t008,t004,t008,t009,t010,t010,t009,t022,t009,t020,t011,t011,t011,t011,t009,t483,t010,t483,t010,t010,t003,t004,t004,t004,t003,t003,t002,t490,
t007,t007,t008,t006,t006,t004,t009,t018,t013,t010,t008,t007,t007,t007,t002,t007,t010,t008,t008,t010,t011,t010,t011,t009,t009,t009,t009,t475,t009,t470,t010,t470,t470,t004,t002,t003,t002,t004,t004,t006,,
t001,t006,t007,t005,t005,t006,t008,t009,t011,t008,t007,t004,t004,t004,t007,t002,t008,t007,t007,t008,t009,t008,t009,t010,t010,t010,t010,t010,t475,t457,t003,t457,t457,t002,t006,t002,t006,t002,t002,t016,,
t006,t004,t006,t003,t004,t005,t010,t010,t009,t004,t004,t002,t001,t002,t005,t004,t007,t001,t001,t470,t010,t007,t010,t008,t008,t008,t008,t470,t010,t007,t470,t007,t007,t006,t016,t006,t016,t006,t006,t493,,
t005,t005,t005,t002,t003,t007,t007,t008,t010,t006,t006,t005,t006,t005,t003,t005,t006,t006,t006,t001,t008,t002,t008,t470,t470,t470,t470,t457,t470,t005,t457,t005,t005,t016,t457,t016,t493,t016,t016,t457,,
t004,t003,t004,t007,t002,t003,t006,t007,t008,t007,t005,t003,t005,t003,t001,t003,t004,t004,t004,t007,t470,t004,t001,t001,t001,t001,t001,t007,t457,t004,t005,t003,t003,,t493,t457,t457,t493,t493,t047,,
t003,t002,t003,t001,,t002,t004,t004,t007,t005,t003,t006,t003,t001,t006,t001,t005,t005,t005,t004,t001,t005,t470,t007,t007,t007,t007,t005,t007,t003,t007,t004,t004,,t489,t489,t489,t457,t457,t489,,
t002,t001,t002,,,,t005,t006,t004,t003,t002,t001,t002,t006,t016,t006,t003,t003,t003,t005,t007,t003,t007,t004,t004,t005,t005,t003,t005,t002,t004,t002,t002,,t494,t054,t054,t047,t047,t054,,
,,t001,,,,t003,t005,t006,t002,t001,t016,t016,t016,,t016,t002,t002,t002,t003,t004,t006,t004,t005,t005,t003,t003,t004,t003,t006,t002,t006,t006,,t047,t494,t494,t489,t489,t521,,
,,,,,,t002,t003,t005,t016,t016,,,,,,t001,t016,t016,t002,t005,t016,t005,t002,t003,t002,t004,t002,t004,t016,t006,t016,t016,,t464,t493,t047,t054,t054,t494,,
,,,,,,t016,t002,t003,,,,,,,,t016,,,t006,t003,t001,t003,t003,t002,t004,t002,t006,t002,,t016,,,,,t047,t464,t494,t521,t464,,
,,,,,,,t016,t002,,,,,,,,,,,t016,t002,,t002,t006,t006,t006,t006,t016,t006,,,,,,,t464,,t464,t494,,,
,,,,,,,,t016,,,,,,,,,,,,t006,,t006,t016,t016,t016,t016,,t016,,,,,,,,,,t464,,,
,,,,,,,,,,,,,,,,,,,,t016,,t016,,,,,,,,,,,,,,,,,,,
